year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,perc
2020,Alabama,AL,Autauga,01001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19838,27770,20210622,TOTAL,0.714368023046453
2020,Alabama,AL,Baldwin,01003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,83544,109679,20210622,TOTAL,0.7617137282433283
2020,Alabama,AL,Barbour,01005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5622,10518,20210622,TOTAL,0.5345122646891044
2020,Alabama,AL,Bibb,01007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7525,9595,20210622,TOTAL,0.7842626367899947
2020,Alabama,AL,Blount,01009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24711,27588,20210622,TOTAL,0.8957155284906481
2020,Alabama,AL,Bullock,01011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1146,4613,20210622,TOTAL,0.24842835464990246
2020,Alabama,AL,Butler,01013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5458,9488,20210622,TOTAL,0.5752529510961214
2020,Alabama,AL,Calhoun,01015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35101,50983,20210622,TOTAL,0.6884843967597042
2020,Alabama,AL,Chambers,01017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8753,15284,20210622,TOTAL,0.5726903951845067
2020,Alabama,AL,Cherokee,01019,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10583,12301,20210622,TOTAL,0.8603365580034144
2020,Alabama,AL,Chilton,01021,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16085,19310,20210622,TOTAL,0.8329880890730191
2020,Alabama,AL,Choctaw,01023,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4296,7464,20210622,TOTAL,0.5755627009646302
2020,Alabama,AL,Clarke,01025,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7324,13135,20210622,TOTAL,0.5575942139322421
2020,Alabama,AL,Clay,01027,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5601,6930,20210622,TOTAL,0.8082251082251082
2020,Alabama,AL,Cleburne,01029,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6484,7227,20210622,TOTAL,0.8971910889719109
2020,Alabama,AL,Coffee,01031,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16899,22275,20210622,TOTAL,0.7586531986531987
2020,Alabama,AL,Colbert,01033,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19203,27886,20210622,TOTAL,0.688625116545937
2020,Alabama,AL,Conecuh,01035,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3442,6441,20210622,TOTAL,0.5343890700201832
2020,Alabama,AL,Coosa,01037,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3631,5479,20210622,TOTAL,0.6627121737543348
2020,Alabama,AL,Covington,01039,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14586,17430,20210622,TOTAL,0.8368330464716007
2020,Alabama,AL,Crenshaw,01041,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4864,6617,20210622,TOTAL,0.7350763185733716
2020,Alabama,AL,Cullman,01043,PRESIDENT,DONALD J TRUMP,REPUBLICAN,36880,41851,20210622,TOTAL,0.8812214761893383
2020,Alabama,AL,Dale,01045,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14303,19738,20210622,TOTAL,0.724642820954504
2020,Alabama,AL,Dallas,01047,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5524,17864,20210622,TOTAL,0.30922525750111957
2020,Alabama,AL,Dekalb,01049,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24767,29356,20210622,TOTAL,0.8436776127537812
2020,Alabama,AL,Elmore,01051,PRESIDENT,DONALD J TRUMP,REPUBLICAN,30164,41030,20210622,TOTAL,0.7351693882524982
2020,Alabama,AL,Escambia,01053,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10869,15910,20210622,TOTAL,0.6831552482715273
2020,Alabama,AL,Etowah,01055,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35528,47728,20210622,TOTAL,0.7443848474689909
2020,Alabama,AL,Fayette,01057,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7300,8766,20210622,TOTAL,0.8327629477526808
2020,Alabama,AL,Franklin,01059,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10376,12578,20210622,TOTAL,0.8249324216886628
2020,Alabama,AL,Geneva,01061,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10848,12545,20210622,TOTAL,0.8647269828616979
2020,Alabama,AL,Greene,01063,PRESIDENT,DONALD J TRUMP,REPUBLICAN,875,4775,20210622,TOTAL,0.18324607329842932
2020,Alabama,AL,Hale,01065,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3192,7900,20210622,TOTAL,0.4040506329113924
2020,Alabama,AL,Henry,01067,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6607,9298,20210622,TOTAL,0.7105829210582921
2020,Alabama,AL,Houston,01069,PRESIDENT,DONALD J TRUMP,REPUBLICAN,32618,46173,20210622,TOTAL,0.7064301648149351
2020,Alabama,AL,Jackson,01071,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19670,23636,20210622,TOTAL,0.8322051108478592
2020,Alabama,AL,Jefferson,01073,PRESIDENT,DONALD J TRUMP,REPUBLICAN,138843,325848,20210622,TOTAL,0.426097444207115
2020,Alabama,AL,Lamar,01075,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6174,7193,20210622,TOTAL,0.858334491867093
2020,Alabama,AL,Lauderdale,01077,PRESIDENT,DONALD J TRUMP,REPUBLICAN,31721,44339,20210622,TOTAL,0.7154198335551095
2020,Alabama,AL,Lawrence,01079,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12322,16031,20210622,TOTAL,0.7686357681991142
2020,Alabama,AL,Lee,01081,PRESIDENT,DONALD J TRUMP,REPUBLICAN,42221,71449,20210622,TOTAL,0.590924995451301
2020,Alabama,AL,Limestone,01083,PRESIDENT,DONALD J TRUMP,REPUBLICAN,34640,49235,20210622,TOTAL,0.7035645374225652
