year,state_name,state_po,county_name,county_fips,office,candidate,party,candidatevotes,total_votes,version,mode,perc,state,match,mask,republican,democrat,may_1_cutoff
2020,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19838,27770,20210622,TOTAL,0.714368023,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,BALDWIN,1003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,83544,109679,20210622,TOTAL,0.761713728,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,BARBOUR,1005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5622,10518,20210622,TOTAL,0.534512265,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,BIBB,1007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7525,9595,20210622,TOTAL,0.784262637,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,BLOUNT,1009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24711,27588,20210622,TOTAL,0.895715528,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,BULLOCK,1011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1146,4613,20210622,TOTAL,0.248428355,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,BUTLER,1013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5458,9488,20210622,TOTAL,0.575252951,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CALHOUN,1015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35101,50983,20210622,TOTAL,0.688484397,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8753,15284,20210622,TOTAL,0.572690395,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10583,12301,20210622,TOTAL,0.860336558,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CHILTON,1021,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16085,19310,20210622,TOTAL,0.832988089,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4296,7464,20210622,TOTAL,0.575562701,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CLARKE,1025,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7324,13135,20210622,TOTAL,0.557594214,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CLAY,1027,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5601,6930,20210622,TOTAL,0.808225108,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6484,7227,20210622,TOTAL,0.897191089,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,COFFEE,1031,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16899,22275,20210622,TOTAL,0.758653199,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,COLBERT,1033,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19203,27886,20210622,TOTAL,0.688625117,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CONECUH,1035,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3442,6441,20210622,TOTAL,0.53438907,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,COOSA,1037,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3631,5479,20210622,TOTAL,0.662712174,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,COVINGTON,1039,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14586,17430,20210622,TOTAL,0.836833046,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4864,6617,20210622,TOTAL,0.735076319,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,CULLMAN,1043,PRESIDENT,DONALD J TRUMP,REPUBLICAN,36880,41851,20210622,TOTAL,0.881221476,REPUBLICAN,1,0,0,#N/A,0
