date,FIPS,MMWR_week,Recip_County,county_name,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,complete_vax_18,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
5/31/2021,56023,22,Lincoln County,Lincoln,WY,25.1,4968,4968,30.2,4946,33.9,2157,60.3,96.7,5609,28.3,5609,34.1,5540,37.9,2308,64.5,A,1,2,2,0.02,3,Non-metro,5,6,6,7
5/31/2021,46099,22,Minnehaha County,Minnehaha,SD,42.1,81216,81215,51,79899,55.3,20716,79.6,82.1,86317,44.7,NA,0,NA,0,NA,0,B,7,8,8,0.08,8,Metro,3,4,4,4
5/31/2021,12005,22,Bay County,Bay,FL,29.3,51275,51275,34,51030,36.8,21282,65.4,98.7,61335,35.1,61326,40.7,60657,43.7,23704,72.9,C,9,10,10,0.1,11,Metro,1,2,2,3
5/31/2021,1079,22,Lawrence County,Lawrence,AL,27.8,9160,9160,32.3,9135,35.4,4269,67.9,91.8,10641,32.3,10641,37.6,10600,41,4876,77.6,B,5,6,6,0.06,7,Metro,1,2,2,3
5/31/2021,UNK,22,Unknown County,Unknown,DE,0,16536,16533,0,16451,0,4779,0,96.1,19377,0,19366,0,19081,0,5503,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
5/31/2021,51025,22,Brunswick County,Brunswick,VA,23.9,3879,3879,26.7,3859,28.5,1601,45.3,51,5304,32.7,5303,36.5,5250,38.7,1754,49.6,D,13,13,13,0.13,14,Non-metro,5,5,5,6
5/31/2021,40025,22,Cimarron County,Cimarron,OK,19.9,425,425,24,425,26.7,236,43.5,93.3,465,21.8,465,26.3,465,29.2,260,47.9,B,5,5,5,0.05,6,Non-metro,5,5,5,6
5/31/2021,48083,22,Coleman County,Coleman,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,NA,NA,NA,0,NA,Non-metro,NA,NA,NA,NA
5/31/2021,47165,22,Sumner County,Sumner,TN,29.1,55634,55633,34.3,55071,37.6,19870,64,97.9,62282,32.6,62278,38.4,60850,41.5,21694,69.9,A,1,2,2,0.02,3,Metro,1,2,2,3
5/31/2021,53045,22,Mason County,Mason,WA,38.5,25737,25736,44.2,25533,47.5,11690,75.2,96,30405,45.5,30404,52.3,29446,54.8,12339,79.4,C,10,11,11,0.11,12,Non-metro,6,7,7,8
5/31/2021,8071,22,Las Animas County,Las Animas,CO,18.8,2728,2728,21.2,2674,22.5,494,13.4,85,3452,23.8,3448,26.9,3311,27.8,605,16.4,D,13,13,13,0.13,13,Non-metro,5,5,5,5
5/31/2021,17201,22,Winnebago County,Winnebago,IL,35.8,101044,101044,42.2,99466,45.9,35689,70.2,97.6,132103,46.8,131913,55.1,126865,58.6,43308,85.2,C,10,11,11,0.11,12,Metro,2,3,3,4
5/31/2021,17049,22,Effingham County,Effingham,IL,28.6,9713,9713,34,9656,37.3,4123,67.7,97.6,13320,39.2,13312,46.6,13184,51,5526,90.8,A,1,2,2,0.02,3,Non-metro,5,6,6,7
5/31/2021,48201,22,Harris County,Harris,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,NA,NA,NA,0,NA,Metro,NA,NA,NA,NA
5/31/2021,51149,22,Prince George County,Prince George,VA,10.8,4155,4155,12.7,4138,13.8,505,9.1,51,7159,18.7,7158,21.9,7115,23.8,544,9.8,B,5,5,5,0.05,5,Metro,1,1,1,1
5/31/2021,51670,22,Hopewell city,Hopewell,VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,NA,NA,NA,0,NA,Metro,NA,NA,NA,NA
5/31/2021,20083,22,Hodgeman County,Hodgeman,KS,33.2,596,596,39.1,596,43.1,261,59.6,93.2,671,37.4,671,44,667,48.2,281,64.2,A,2,2,3,0.03,3,Non-metro,6,6,7,7
5/31/2021,53003,22,Asotin County,Asotin,WA,27.6,6231,6231,31.7,6190,34.3,3436,63.5,96,6896,30.5,6896,35.1,6775,37.5,3573,66,B,5,6,6,0.06,7,Metro,1,2,2,3
5/31/2021,54043,22,Lincoln County,Lincoln,WV,12.5,2545,2544,14.6,2501,15.8,1077,26.4,55.4,3322,16.3,3320,19,3108,19.6,1198,29.4,C,9,9,9,0.09,9,Metro,1,1,1,1
5/31/2021,38081,22,Sargent County,Sargent,ND,45.7,1782,1782,53.6,1764,57.7,711,80.5,95.4,1913,49.1,1911,57.5,1879,61.5,748,84.7,A,3,4,4,0.04,4,Non-metro,7,8,8,8
